Unknown Tape,13:34:49:10,13:35:39:22,AA026301.mov,,S28C_T03  rail platform  afternoon  samuel  fern,,,
Unknown Tape,13:42:12:10,13:44:28:22,AA026401.mov,,S28D_T01  rail platform  afternoon  samuel,,,
Unknown Tape,13:52:32:00,13:53:17:00,AA026501.mov,,S28E_T01  rail platform  afternoon  fern,,,
Unknown Tape,14:00:13:12,14:01:11:00,AA026601.mov,,S28F_T01  rail platform  afternoon  fern,,,
Unknown Tape,14:03:48:22,14:08:58:10,AA011701.mov,,S44_T01,,,
Unknown Tape,14:14:28:06,14:21:08:18,AA011801.mov,,S44_T02,,,
Unknown Tape,14:14:28:06,14:21:08:18,AA011802.mov,,S44_T02,,,
Unknown Tape,14:15:37:01,14:15:49:13,AA026701BRoll.mov,,B-ROLL,,,
Unknown Tape,14:19:47:11,14:21:41:11,AA026801.mov,,S56_T01  rail platform  morning  masha  scene 58  shot 58  take 1  rail platform  morning  masha,,,
Unknown Tape,14:22:35:15,14:24:40:15,AA026901.mov,,S56_T02  rail platform  morning  masha  scene 58  shot 58  take 2  rail platform  morning  masha,,,
Unknown Tape,14:22:39:21,14:23:12:09,AA019901.mov,,S02i_T01 INSERT  ferns house  morning  morning bae,2,,
Unknown Tape,14:22:39:21,14:23:12:09,AA019901.mov,,S02i_T01 INSERT  ferns house  morning  morning bae,2,S02i_T01,
Unknown Tape,14:25:00:01,14:25:26:13,AA020001.mov,,S02Ai_T01  ferns house  morning  morning bae,2,,
Unknown Tape,14:25:00:01,14:25:26:13,AA020001.mov,,S02Ai_T01  ferns house  morning  morning bae,2,S02Ai_T01,
Unknown Tape,14:28:49:09,14:29:42:21,AA020101.mov,,S02_T01  ferns house  morning  fern  morning bae,2,,
Unknown Tape,14:30:45:09,14:31:47:09,AA020201.mov,,S02_T02  ferns house  morning  fern  morning bae,2,,
Unknown Tape,14:33:33:05,14:34:42:17,AA020301.mov,,S02_T03  ferns house  morning  fern  morning bae,2,,
Unknown Tape,14:35:48:17,14:36:55:17,AA020401.mov,,S02_T04  ferns house  morning  fern  morning bae,2,,
Unknown Tape,14:37:10:19,14:37:46:07,AA027001.mov,,S43D_T01  rail platform  morning  samuel,,,
Unknown Tape,14:38:48:23,14:39:41:11,AA027101.mov,,S43D_T02  rail platform  morning  samuel,,,
Unknown Tape,14:44:43:18,14:48:07:18,AA011901.mov,,S62_T01,,,
Unknown Tape,14:44:51:11,14:46:06:23,AA027201.mov,,S56_T01  rail platform  morning  masha  scene 58  shot 58A  take 1  rail platform  morning  masha  scene 60  shot 60  take 1  rail platform  morning  masha,,,
Unknown Tape,14:47:32:21,14:48:47:21,AA020501.mov,,S55_T01  ferns house  morning  fern,55,,
Unknown Tape,14:50:20:06,14:53:02:06,AA012001.mov,,S62_T02,,,
Unknown Tape,14:52:12:11,14:54:17:11,AA027301.mov,,scene 56  shot 56A  take 2  rail platform  morning  masha  scene 58  shot 58A  take 2  rail platform  morning  masha  scene 60  shot 60  take 2  rail platform  morning  masha,,,
Unknown Tape,15:03:54:17,15:04:32:05,AA020601.mov,,S33_T01  ferns house  evening  fern,33,,
Unknown Tape,15:05:01:17,15:05:33:05,AA020701.mov,,scene 3  shot 33  take 2  ferns house  evening  fern,3,,
